Comment,Designator,Footprint,LCSC,Quantity
RP2040-ZERO,U1,MODULE_RP2040-ZERO,,1
BATT,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
100k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
ENC(L),J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
100nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
ENC(R),J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
10k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
3300uF,C2,CP_Radial_D10.0mm_P5.00mm,,1
2N7002,Q1,SOT-23,,1
TSAL,J6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
470,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
MP1584EN,U2,SRT_MPT1584EN_Module,,1
DUMP,J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
STEER,J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
DRIVER,J9,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
NAV,J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
E-STOP,J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
100k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
